,id,name,id_province,province,id_department,department,id_location,location,postal_code,adress,webpage
9690,70740352380494,BARRIO 828,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,CHACABUCO Nº 830,
9691,70740562380495,FARMACITY 165,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Avenida Arturo Illia 302,
9692,70740352380509,STA. TERESITA,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,AVENIDA 25 DE MAYO Nº 430,
9693,70740352380510,DEL ROSARIO,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,AVENIDA MITRE Nº 1345,
9716,70740352380523,CRUZ VERDE,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,CHACABUCO Nº 447,
9717,70740352380525,EL BUEN PASTOR,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,AV. LOS ALAMOS 2131,
9734,70740352380532,DELAGUILA,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,EDISON Nº 2,
9755,70740352380535,ADRIANA SANTAPAU,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,Hipolito Irigoyen Nº 552,
9766,70740352380543,COLEGIALES,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,SAN LUIS 148,
9774,70740562380474,LOS ALAMOS LAS HERAS,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,San Martín Nº 1196,
9794,70740562380465,LOS ALAMOS SAN MARTIN,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,San Martin Nº 502,
9805,70740562380461,LOS ALAMOS MAIPU,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Maipú Nº 935,
9896,70740072380473,ARIAS,74,SAN LUIS,7,AYACUCHO,74007050000,QUINES,5711,Pringles y 24 de Febrero,
9899,70740562380502,SALVADOR,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Avenida Justo Daract Nº 1850,
9900,70740562380504,DON BOSCO,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Avenida España Nº 310,
9901,70740352380526,S.T.I.A.,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,BALCARCE Nº 322,
9902,70740352380529,STA. PAULA,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,ZABALA ORTIZ Nº 101,
9916,70740562380467,NACIONAL,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Martin de Loyola Nº 279,
9993,70740562380492,FARMACITY 152,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Rivadavia 602,
10121,70740562380914,FARMA DOCTA,74,SAN LUIS,56,LA CAPITAL,74056105000,CIUDAD DE LA PUNTA,5710,Sección 1 Manzana 130 Puerta 5A,
10188,70740562380496,SAN CRISTOBAL,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Avenida Sarmiento 1786,
10189,70740562380503,FARMALIDER JUNIN,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Junin Nº 1050,
10193,70740562380471,S.T.I.A.,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Junin Nº 1530,
10205,70740352380537,QUINTANA DE LA VILLA,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,Balcarce Nº 1023,
10208,70740562380458,SAN ANTONIO,74,SAN LUIS,56,LA CAPITAL,74056100003,EL CHORRILLO,5701,Avenida del Viento Chorrillero Nº 1012,
