,id,name,id_province,province,id_department,department,id_location,location,postal_code,adress,webpage
11311,70821262387504,ROGGIO,82,SANTA FE,126,SAN MARTÍN,82126160000,SASTRE,2440,ITALIA 2091,
11312,70821262387505,SEVESO,82,SANTA FE,126,SAN MARTÍN,82126160000,SASTRE,2440,J.A ROCA 1786,
11313,70820912387509,SALUZZO,82,SANTA FE,91,SAN CRISTÓBAL,82091250000,SOLEDAD,2347,1RO. DE MAYO 150,
11314,70820912387510,CARIGNANO,82,SANTA FE,91,SAN CRISTÓBAL,82091260000,SUARDI,2349,SAN MARTIN 693,
11315,70820912387511,CAVALLO,82,SANTA FE,91,SAN CRISTÓBAL,82091260000,SUARDI,2349,CLEMENTE ZAVALETA 265,
11316,70820912387512,FLORES,82,SANTA FE,91,SAN CRISTÓBAL,82091260000,SUARDI,2349,9 DE JULIO 483,
11317,70820912387513,GERLERO,82,SANTA FE,91,SAN CRISTÓBAL,82091260000,SUARDI,2349,J. BARGELLINI 592,
11318,70820912387514,NARI,82,SANTA FE,91,SAN CRISTÓBAL,82091260000,SUARDI,2349,9 DE JULIO 635,
11319,70820912387515,PIEMONTESA,82,SANTA FE,91,SAN CRISTÓBAL,82091260000,SUARDI,2349,BV.SAN MARTIN 254,
11320,70820212387516,FARMACIA AIRASCA,82,SANTA FE,21,CASTELLANOS,82021360000,SUNCHALES,2322,AV. IRIGOYEN 1180,
11321,70820212387517,ANDRES ROBLEDO,82,SANTA FE,21,CASTELLANOS,82021360000,SUNCHALES,2322,L. ALEM 407,
11322,70820212387518,ASTESANA,82,SANTA FE,21,CASTELLANOS,82021360000,SUNCHALES,2322,J.B.V. MITRI 346,
11326,70820632386962,BONAZZOLA,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,Av. Gdor. Freyre 2298,
11327,70820632386963,BONAZZOLA ESTEFANIA,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,Avenida Aristóbulo del Valle 5118,
11328,70820632386964,BORDIGNON,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,SUIPACHA 2310,
11329,70820632386965,BOSCH,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,SANTIAGO DEL ESTERO 2764,
11330,70820632386966,BOURDIN,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,ALBERDI 3500,
11331,70820632386967,BRAMBILLA,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,ESTANISLAO ZEBALLOS 3731,
11332,70820632386968,BRUNO,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,Av. Gral. Paz 5550,
11333,70820632386969,BURGUES ROMANO,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,BLAS PARERA 7001,
11334,70820632386970,BUYATTI,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,Entre Ríos 3298,
11335,70820632386971,JUDITH ACEVEDO,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,ARISTBULO DEL VALLE 9284,
11336,70820632386972,CAMILATTO,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,ESTANISLAO ZEBALLOS 2702,
11337,70820632386973,CAMUSSO,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,4 DE ENERO 1594,
11338,70820632386974,CAPRA,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,4 DE ENERO 1301,
11339,70820632386975,CARABALLO,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,DIAGONAL GOYENA 3460,
11340,70820632386976,CARDOSO,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,Avenida Gobernador Freyre 2668,
11341,70820632386977,CATTAINO,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,9 de Julio 5198,
11342,70820632386978,CHELINI,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,Avenida Facundo Zuviría 4679,
11343,70820632386979,CHEMES,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,URQUIZA 2179,
11344,70820632386980,CLAVE,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,Av. Gral. Paz 4369,
11345,70820632386981,CONIGLIO,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,FACUNDO ZUVIRIA 5918,
11346,70820632386982,COSTA,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,Avenida Blas Parera 5691,
11347,70820632386983,COSTA SAMITA,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,AV. ARISTOBULO DEL VALLE 6378,
11348,70820632386984,DAMIANI,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,URQUIZA 3180,
11349,70820632386985,DONADIO,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,JAVIER DE LA ROSA 322,
11350,70820702387164,FORTI,82,SANTA FE,70,LAS COLONIAS,82070050000,ESPERANZA,3080,GUEMES 595,
11351,70820702387165,FUENTES,82,SANTA FE,70,LAS COLONIAS,82070050000,ESPERANZA,3080,MORENO 742,
11352,70820702387166,GAMBOA,82,SANTA FE,70,LAS COLONIAS,82070050000,ESPERANZA,3080,BELGRANO 2324,
11353,70820702387167,HILAS,82,SANTA FE,70,LAS COLONIAS,82070050000,ESPERANZA,3080,HNO LINO TERFORD 2957,
11354,70820702387168,LIMACHE,82,SANTA FE,70,LAS COLONIAS,82070050000,ESPERANZA,3080,AV.CORDOBA 1624,
11355,70820702387169,LONGONI,82,SANTA FE,70,LAS COLONIAS,82070050000,ESPERANZA,3080,SAAVEDRA 1806,
11356,70820702387170,MORELLI,82,SANTA FE,70,LAS COLONIAS,82070050000,ESPERANZA,3080,Rivadavia 2002,
11357,70820702387171,MORELLO,82,SANTA FE,70,LAS COLONIAS,82070050000,ESPERANZA,3080,SIMON DE IRIONDO 4150,
11358,70820702387172,PERIN,82,SANTA FE,70,LAS COLONIAS,82070050000,ESPERANZA,3080,CORDOBA Y LAVALLE,
11359,70820702387173,PIERUCCIONI,82,SANTA FE,70,LAS COLONIAS,82070050000,ESPERANZA,3080,BALCARCE 1605,
11360,70820702387174,SAD,82,SANTA FE,70,LAS COLONIAS,82070050000,ESPERANZA,3080,SARMIENTO 2041,
11361,70820702387175,SAUGY,82,SANTA FE,70,LAS COLONIAS,82070050000,ESPERANZA,3080,AV.LOS COLONIZADORES 9,
11362,70820702387176,FARMACIA SCHNEIDER SERGIO,82,SANTA FE,70,LAS COLONIAS,82070050000,ESPERANZA,3080,Avenida Córdoba 2251,
11363,70820702387177,TKACZYK,82,SANTA FE,70,LAS COLONIAS,82070050000,ESPERANZA,3080,1  DE MAYO 2006,
11364,70820702387178,ZEHNDER,82,SANTA FE,70,LAS COLONIAS,82070050000,ESPERANZA,3080,CULLEN 1332,
11365,70820702387179,ZUQUELI,82,SANTA FE,70,LAS COLONIAS,82070050000,ESPERANZA,3080,AUFRANC 1447,
11366,70820212387180,FRANK,82,SANTA FE,21,CASTELLANOS,82021180000,EUSEBIA Y CAROLINA,2317,LAS HERAS 268,
11367,70820702387181,CORRENTI,82,SANTA FE,70,LAS COLONIAS,82070060000,FELICIA,3087,E. SENN 374,
11368,70820702387182,FELICIA,82,SANTA FE,70,LAS COLONIAS,82070060000,FELICIA,3087,PEDRO PALACIOS 584,
11369,70820492387183,KAREN GIMENEZ,82,SANTA FE,49,GENERAL OBLIGADO,82049060000,FLORENCIA,3516,SAN MARTIN 501,
11370,70820492387184,PERESON,82,SANTA FE,49,GENERAL OBLIGADO,82049060000,FLORENCIA,3516,GENERAL OBLIGADO 702,
11371,70820212387330,SERRA,82,SANTA FE,21,CASTELLANOS,82021310000,RAFAELA,2300,FALUCHO 1325,
11372,70820212387331,SIMONCINI,82,SANTA FE,21,CASTELLANOS,82021310000,RAFAELA,2300,AV.ARISTOBULO DEL VALLE 132,
11373,70820212387332,SUDANO,82,SANTA FE,21,CASTELLANOS,82021310000,RAFAELA,2300,COLON 54,
11374,70820212387333,TIBALDI,82,SANTA FE,21,CASTELLANOS,82021310000,RAFAELA,2300,E. SALVA 317,
11375,70820212387334,TURINO,82,SANTA FE,21,CASTELLANOS,82021310000,RAFAELA,2300,ESPAÑA 1135,
11376,70820212387335,WALTER,82,SANTA FE,21,CASTELLANOS,82021310000,RAFAELA,2300,SARMIENTO 110,
11377,70820212387336,MOINE,82,SANTA FE,21,CASTELLANOS,82021320000,RAMONA,2301,9 DE JULIO Y MITRE,
11378,70820492387337,ABRAHAN,82,SANTA FE,49,GENERAL OBLIGADO,82049180000,RECONQUISTA,3567,BOULEVARD PERON 1896,
11379,70820492387338,AGUSTINI,82,SANTA FE,49,GENERAL OBLIGADO,82049180000,RECONQUISTA,3567,H. IRIGOYEN 476,
11380,70820492387339,ARAMBURU,82,SANTA FE,49,GENERAL OBLIGADO,82049180000,RECONQUISTA,3567,H.IRIGOYEN 1302,
11381,70820492387340,ALAL,82,SANTA FE,49,GENERAL OBLIGADO,82049180000,RECONQUISTA,3567,ITURRASPE 676,
11382,70820492387341,ARAYA,82,SANTA FE,49,GENERAL OBLIGADO,82049180000,RECONQUISTA,3567,MALVINAS ARGENTINAS 1405,
11383,70820492387342,BALLARIO,82,SANTA FE,49,GENERAL OBLIGADO,82049180000,RECONQUISTA,3567,PATRICIO DIEZ 217,
11384,70820492387343,BANDEO,82,SANTA FE,49,GENERAL OBLIGADO,82049180000,RECONQUISTA,3567,HABEGGER 1260,
11385,70820492387344,BARRIO CHAPERO,82,SANTA FE,49,GENERAL OBLIGADO,82049180000,RECONQUISTA,3567,JESUSA CHAPERO 1920,
11386,70820492387345,BOURNISSENT,82,SANTA FE,49,GENERAL OBLIGADO,82049180000,RECONQUISTA,3567,ALVEAR 1352,
11387,70820492387346,BUNCHICH,82,SANTA FE,49,GENERAL OBLIGADO,82049180000,RECONQUISTA,3567,BV. LOVATO 1131,
11388,70820492387347,CASTILLO,82,SANTA FE,49,GENERAL OBLIGADO,82049180000,RECONQUISTA,3567,BELGRANO 1486,
11389,70820492387348,CESPEDES,82,SANTA FE,49,GENERAL OBLIGADO,82049180000,RECONQUISTA,3567,MITRE 498,
11390,70820492387349,CIAN,82,SANTA FE,49,GENERAL OBLIGADO,82049180000,RECONQUISTA,3567,JORGE NEWBERY 502,
11391,70820492387350,CORTI,82,SANTA FE,49,GENERAL OBLIGADO,82049180000,RECONQUISTA,3567,ALESSIO 1502,
11392,70820492387351,CUCIT,82,SANTA FE,49,GENERAL OBLIGADO,82049180000,RECONQUISTA,3567,CALLE 47 1784,
11393,70820492387352,DEAN,82,SANTA FE,49,GENERAL OBLIGADO,82049180000,RECONQUISTA,3567,ALVEAR 1896,
11394,70820492387353,DEGIUSTI,82,SANTA FE,49,GENERAL OBLIGADO,82049180000,RECONQUISTA,3567,GOBERNADOR FREYRE 1302,
11397,70820632386986,ESTERKIN,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,SAN JERONIMO 1995,
11398,70820632386987,FACINO,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,ESPAÑA 3170,
11399,70820632386988,FERRO,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,FRANCIA 2998,
11400,70820632386989,FINELLI,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,Las Heras 7304,
11401,70820632386990,FUCKSMANN,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,SAAVEDRA 3081,
11402,70820632386991,GABRIEL JAUREGUI,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,Echagüe 7254,
11403,70820632386992,GARCIA,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,RIVADAVIA 3193,
11404,70820632386993,GERMAN LOPEZ,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,Av. Gral. Paz 5201,
11405,70820632386994,GIMENEZ,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,URQUIZA 2332,
11406,70820632386995,GIULIONI,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,GOROSTIAGA 3038,
11407,70820632386996,GOMEZ,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,Avenida Ángel V. Peñaloza 6839,
11408,70820632386997,GOMEZ ORTEGA,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,AVELLANEDA 3498,
11409,70820632386998,GOTTERO,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,SAN MARTIN 2699,
11410,70820632386999,IGNACIO AZANZA,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,Avenida López y Planes 3901,
11411,70820632387000,IMHOF,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,MARCIAL CANDIOTTI 2796,
11412,70820632387001,IMOBERDORF,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,Avenida Blas Parera 6751,
11413,70820632387002,IMVINKELRIED,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,LAVALLE 4201,
11414,70820632387003,JUNGES,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,GUEMES 3701,
