id,name,id_location,id_department,postal_code,adress
70820842386486,HAUPTMANN,82084270000,84,2000,GRAL PAZ 5467
70820842386487,CECCARELLI,82084270000,84,2000,AYACUCHO 5380
70820842386519,MARCHETTI,82084140000,84,2132,SANTA FE 1631
70820842386513,MAMMANA,82084270000,84,2000,Av CORDOBA 4790
70820842386514,CHIMENTON,82084270000,84,2000,PELLEGRINI 4460
70820422386516,CASALINO,82042250000,42,2613,SAN MARTIN 598
70820142886517,SINDICAL UOM,82014010000,14,2183,CORDOBA 1202
70820842387636,ARAUJO,82084270000,84,2000,RIOJA 701
70820842387637,AMBAY,82084270000,84,2000,SAN JUAN 2296
70820842387638,AQUINO,82084270000,84,2000,SAN LUIS 2348
70820842387639,ARGENTA,82084270000,84,2000,SE SAN MARTIN JOSE GRL AV 4515
70820842387640,ALESSO,82084270000,84,2000,SARMIENTO DOMINGO FAUSTINO PRES 1296
70820842387641,ACEOLAZA,82084270000,84,2000,SUPERI JOSE 996
70820842387642,ALEMA,82084270000,84,2000,TUCUMAN 1099
70820842387643,ANUNZIATO,82084270000,84,2000,DE URQUIZA JUSTO JOSE 2597
70820842387644,ACHIDIAK,82084270000,84,2000,VELEZ SARSFIELD 1582
70820842387645,ANTONELLI,82084270000,84,2000,WILDE EDUARDO BV 508
70820842387646,BONEL,82084270000,84,2000,ARIJON AV 1337
70820842387647,BAHA,82084270000,84,2000,BAHIA BLANCA BIS 388
70820842387648,BAIGORRIA,82084270000,84,2000,BAIGORRIA JUAN BAUTISTA 957
70820842387649,BOGGIONE,82084270000,84,2000,BALCARCE 816
70820842387650,BERMEJO,82084270000,84,2000,AYACUCHO 1650
70820842387651,BENITEZ,82084270000,84,2000,AVELLANEDA BIS BV 735
70820842387652,BINI,82084270000,84,2000,SEGUI JUAN FRANCISCO BV 5341
70820842387653,BRUFAL,82084270000,84,2000,SEGUI JUAN FRANCISCO BV 5203
70820842387654,BUSTAMANTE,82084270000,84,2000,CASIANO CASAS 1502
70820842387655,BONACCI,82084270000,84,2000,CASTRO BARROS AV 5202
70820842387656,BIZOTTO,82084270000,84,2000,COLON CRISTOBAL 1301
70820842387657,BATALLA,82084270000,84,2000,DUARTE DE PERON EVA AV 4997
70820842387658,BARTONAGIOLLI,82084270000,84,2000,DE ROSAS JUAN MANUEL 2448
70820842387659,BONETTO,82084270000,84,2000,PASO JUAN JOSE 5669
70820842387660,BIZZARRI,82084270000,84,2000,INGENIEROS JOSE 876
70820842387661,BARBAGALLO,82084270000,84,2000,TUCUMAN 7607
70820842387662,BUSALACCHI,82084270000,84,2000,LAMADRID 1987
70820842387663,BABINI,82084270000,84,2000,MENDOZA AV 7735
70820842387664,BELGRANO,82084270000,84,2000,MENDOZA AV 6998
70820842387665,BOZAZ,82084270000,84,2000,MENDOZA AV 7940
70820842387666,BEDETTI,82084270000,84,2000,MITRE BARTOLOME 4408
70820842387667,BERGERO,82084270000,84,2000,MONTEVIDEO 1732
70820842387668,BAVASTRO,82084270000,84,2000,NECOCHEA 3118
70820842387669,BOSCO,82084270000,84,2000,PARAGUAY 1159
70820842387670,BECCARIA,82084270000,84,2000,PROVINCIAS UNIDAS AV 864
70820842387671,BACHIARRI,82084270000,84,2000,ROCA JULIO ARGENTINO PTE 2508
70820842387672,BELLAVISTA,82084270000,84,2000,RIOBAMBA 3696
70820842387673,BIANCHI,82084270000,84,2000,RIOBAMBA 3595
70820842387674,BERGONZI,82084270000,84,2000,SALTA AV 1975
70820842387675,BITTAR,82084270000,84,2000,SAN JUAN 3292
70820842387676,BONO,82084270000,84,2000,SAN LORENZO 1130
70820842387678,BENDINELLI,82084270000,84,2000,DE URQUIZA JUSTO JOSE 2373
70820842387679,CASADEI,82084270000,84,2000,9 DE JULIO 1768
70820842387680,CASTINI,82084270000,84,2000,9 DE JULIO 414
70820842387681,CATAUDELLA,82084270000,84,2000,9 DE JULIO 504
70820842387682,CONCARI,82084270000,84,2000,9 DE JULIO 764
70820842387683,CHIAPPERO,82084270000,84,2000,9 DE JULIO 2499
70820842387684,CASTELLI,82084270000,84,2000,ARIJON AV 302
70820842387685,CARLOS SOLARI,82084270000,84,2000,ARIJON AV 1645
70820842387686,CLADERA,82084270000,84,2000,NTRA SRA DEL ROSARIO AV 3189
70820842387687,CAPRIOGLIO,82084270000,84,2000,FRANCIA AV 2581
70820842387688,CUCA,82084270000,84,2000,URIBURU JOSE EVARISTO PRES AV 1756
70820842387690,CASA,82084270000,84,2000,BAIGORRIA JUAN BAUTISTA 1701
